symbol;yahoo finance
IMNP;https://query1.finance.yahoo.com/v7/finance/download/IMNP?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IMGN;https://query1.finance.yahoo.com/v7/finance/download/IMGN?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IMMU;https://query1.finance.yahoo.com/v7/finance/download/IMMU?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IMRN;https://query1.finance.yahoo.com/v7/finance/download/IMRN?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IMRNW;https://query1.finance.yahoo.com/v7/finance/download/IMRNW?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IMMP;https://query1.finance.yahoo.com/v7/finance/download/IMMP?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IMPV;https://query1.finance.yahoo.com/v7/finance/download/IMPV?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PI;https://query1.finance.yahoo.com/v7/finance/download/PI?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IMMY;https://query1.finance.yahoo.com/v7/finance/download/IMMY?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IMV;https://query1.finance.yahoo.com/v7/finance/download/IMV?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
INCY;https://query1.finance.yahoo.com/v7/finance/download/INCY?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
INDB;https://query1.finance.yahoo.com/v7/finance/download/INDB?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IBCP;https://query1.finance.yahoo.com/v7/finance/download/IBCP?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IBTX;https://query1.finance.yahoo.com/v7/finance/download/IBTX?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
INDU;https://query1.finance.yahoo.com/v7/finance/download/INDU?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
INDUU;https://query1.finance.yahoo.com/v7/finance/download/INDUU?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
INDUW;https://query1.finance.yahoo.com/v7/finance/download/INDUW?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
ILPT;https://query1.finance.yahoo.com/v7/finance/download/ILPT?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IDSA;https://query1.finance.yahoo.com/v7/finance/download/IDSA?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
INFN;https://query1.finance.yahoo.com/v7/finance/download/INFN?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
INFI;https://query1.finance.yahoo.com/v7/finance/download/INFI?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IPCC;https://query1.finance.yahoo.com/v7/finance/download/IPCC?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IFRX;https://query1.finance.yahoo.com/v7/finance/download/IFRX?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
III;https://query1.finance.yahoo.com/v7/finance/download/III?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IEA;https://query1.finance.yahoo.com/v7/finance/download/IEA?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IEAWW;https://query1.finance.yahoo.com/v7/finance/download/IEAWW?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IMKTA;https://query1.finance.yahoo.com/v7/finance/download/IMKTA?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
INWK;https://query1.finance.yahoo.com/v7/finance/download/INWK?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
INOD;https://query1.finance.yahoo.com/v7/finance/download/INOD?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IPHS;https://query1.finance.yahoo.com/v7/finance/download/IPHS?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IOSP;https://query1.finance.yahoo.com/v7/finance/download/IOSP?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
INNT;https://query1.finance.yahoo.com/v7/finance/download/INNT?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
ISSC;https://query1.finance.yahoo.com/v7/finance/download/ISSC?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
INVA;https://query1.finance.yahoo.com/v7/finance/download/INVA?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
